time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-10-23T07:02:10.890Z,19.232166290283,-155.43533325195,6.8800001144409,1.88999999,md,14.0,136.0,0.03614,0.280000001,hv,hv74509236,2024-10-23T07:03:49.380Z,"5 km NE of Pāhala, Hawaii",earthquake,0.77,0.949999988,0.270000011,3.0,automatic,hv,hv
2024-10-23T07:01:17.440Z,19.172166824341,-155.49716186523,31.270000457764,2.5,md,36.0,202.0,0.03709,0.150000006,hv,hv74509231,2024-10-23T07:02:53.560Z,"3 km SSW of Pāhala, Hawaii",earthquake,0.67,0.639999986,0.400000006,5.0,automatic,hv,hv
2024-10-23T07:00:38.150Z,33.6609993,-116.7421646,11.04,1.14,ml,14.0,79.0,0.05521,0.15,ci,ci40961440,2024-10-23T07:02:44.582Z,"9 km SSW of Idyllwild, CA",earthquake,0.68,1.22,0.208,6.0,automatic,ci,ci
2024-10-23T06:47:29.650Z,38.8125,-122.79049682617,2.4100000858307,1.26,md,26.0,42.0,0.00588,0.03,nc,nc75077616,2024-10-23T06:49:04.809Z,"5 km NNW of The Geysers, CA",earthquake,0.23,0.389999986,0.17,27.0,automatic,nc,nc
2024-10-23T06:41:27.625Z,61.3134,-152.2779,6.4,1.7,ml,,,,0.4,ak,ak024dnafisa,2024-10-23T06:43:20.472Z,"67 km WNW of Beluga, Alaska",earthquake,,0.1,,,automatic,ak,ak
2024-10-23T06:37:24.065Z,61.5243,-149.903,32.9,1.4,ml,,,,0.6,ak,ak024dnaenna,2024-10-23T06:39:33.067Z,"2 km E of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2024-10-23T06:32:58.640Z,38.76583480835,-122.73816680908,0.88999998569489,1.3,md,17.0,85.0,0.01123,0.05,nc,nc75077606,2024-10-23T06:34:34.407Z,"2 km SE of The Geysers, CA",earthquake,0.32,0.439999998,0.1,16.0,automatic,nc,nc
2024-10-23T06:25:29.620Z,35.7683333,-117.5808333,6.62,0.8,ml,25.0,68.0,0.04921,0.14,ci,ci40961432,2024-10-23T06:31:38.323Z,"16 km W of Searles Valley, CA",earthquake,0.18,0.44,0.175,9.0,automatic,ci,ci
2024-10-23T06:23:12.557Z,40.3635,-119.5614,9.2,1.9,ml,8.0,285.02,0.233,0.3093,nn,nn00886433,2024-10-23T06:25:55.947Z,"30 km SW of Empire, Nevada",earthquake,,1.7,0.3,6.0,automatic,nn,nn
2024-10-23T06:22:07.660Z,19.372333526611,-155.20133972168,1.5099999904633,1.91999996,md,20.0,167.0,0.01345,0.319999993,hv,hv74509181,2024-10-23T06:24:48.220Z,"8 km SSE of Volcano, Hawaii",earthquake,0.91,0.479999989,0.449999988,10.0,automatic,hv,hv
2024-10-23T06:11:50.860Z,35.5971667,-117.4035,7.77,0.79,ml,24.0,76.0,0.04901,0.14,ci,ci40961424,2024-10-23T06:18:44.358Z,"19 km S of Trona, CA",earthquake,0.23,0.41,0.102,4.0,automatic,ci,ci
2024-10-23T06:05:14.093Z,-40.9535,-91.4091,10.0,5.0,mb,72.0,148.0,13.739,1.04,us,us7000nmk2,2024-10-23T06:43:15.040Z,West Chile Rise,earthquake,12.9,1.884,0.052,116.0,reviewed,us,us
2024-10-23T06:04:29.631Z,31.677,-104.105,3.7084,2.1,ml,19.0,81.0,0.0,0.3,tx,tx2024uvgy,2024-10-23T06:14:25.422Z,"48 km W of Mentone, Texas",earthquake,0.0,1.3049025535584,0.2,14.0,automatic,tx,tx
2024-10-23T06:01:15.740Z,38.797832489014,-122.75233459473,2.210000038147,1.07,md,13.0,95.0,0.006404,0.02,nc,nc75077596,2024-10-23T06:37:14.647Z,"2 km NNE of The Geysers, CA",earthquake,0.31,0.670000017,0.19,13.0,automatic,nc,nc
2024-10-23T05:31:50.320Z,18.222666666667,-67.222333333333,101.42,3.18,md,15.0,230.0,0.07986,0.25,pr,pr71463238,2024-10-23T05:57:17.900Z,"8 km SSW of La Playa, Puerto Rico",earthquake,1.65,0.97,0.12724648024464,6.0,reviewed,pr,pr
2024-10-23T05:21:41.027Z,59.6189,-152.795,78.1,1.8,ml,,,,0.33,ak,ak024dn9ptw6,2024-10-23T05:23:20.182Z,"57 km WSW of Anchor Point, Alaska",earthquake,,0.5,,,automatic,ak,ak
